Name,Description,SKU,Product Code,Barcode,Category,Brand,Unit,Weight,Dimensions,Color,Size,Current Stock,Minimum Stock,Maximum Stock,Cost Price Amount,Cost Price Currency,Selling Price Amount,Selling Price Currency,Discount Price,Discount Start Date,Discount End Date,Supplier Name,Is Perishable,Expiry Date
Wireless Bluetooth Headphones,Premium noise-canceling wireless headphones with 30-hour battery life,WBH001,WBH-PRO-001,123456789001,Electronics,AudioTech,PIECES,0.3,20x18x8,Black,One Size,50,10,100,75.00,USD,149.99,USD,129.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Gaming Mechanical Keyboard,RGB backlit mechanical keyboard with Cherry MX switches,GMK002,GMK-RGB-002,123456789002,Electronics,GamerPro,PIECES,1.2,45x15x4,Black,Full Size,35,5,75,85.00,USD,179.99,USD,159.99,2024-01-01,2024-06-30,TechSupplier Inc,false,
Organic Fair Trade Coffee Beans,Premium Ethiopian single-origin coffee beans 500g,CFB003,CFB-ETH-003,123456789003,Food & Beverage,CoffeeMaster,KILOGRAMS,0.5,15x10x5,Brown,500g,100,20,200,12.50,USD,24.99,USD,19.99,2024-01-01,2024-03-31,CoffeeSupplier Ltd,true,2024-12-31
Stainless Steel Water Bottle,Vacuum insulated water bottle keeps drinks cold for 24 hours,SSB004,SSB-INS-004,123456789004,Home & Garden,HydroLife,PIECES,0.4,25x8,Silver,750ml,80,15,150,18.00,USD,34.99,USD,29.99,2024-01-01,2024-12-31,HomeSupplier Co,false,
LED Desk Lamp,Adjustable LED desk lamp with touch controls and USB port,LED005,LED-DESK-005,123456789005,Electronics,LightTech,PIECES,0.8,35x25x15,White,Adjustable,60,10,120,25.00,USD,49.99,USD,39.99,2024-01-01,2024-08-31,TechSupplier Inc,false,
Fresh Organic Milk,Pasteurized organic whole milk from grass-fed cows,FOM006,FOM-ORG-006,123456789006,Food & Beverage,DairyFresh,LITERS,1.0,10x8x15,White,1L,200,50,400,2.50,USD,4.99,USD,3.99,2024-01-01,2024-02-28,DairySupplier Ltd,true,2024-02-15
Bluetooth Portable Speaker,Waterproof portable speaker with 20W output,BPS007,BPS-PORT-007,123456789007,Electronics,SoundWave,PIECES,0.6,18x12x8,Black,Portable,45,8,90,35.00,USD,69.99,USD,59.99,2024-01-01,2024-10-31,TechSupplier Inc,false,
Bamboo Cutting Board,Natural bamboo cutting board with juice groove,BCB008,BCB-NAT-008,123456789008,Home & Garden,KitchenPro,PIECES,0.7,40x25x2,Brown,Medium,70,12,140,15.00,USD,29.99,USD,24.99,2024-01-01,2024-12-31,HomeSupplier Co,false,
Smartphone Phone Case,Shock-absorbing phone case with built-in stand,SPC009,SPC-SHOCK-009,123456789009,Electronics,PhoneGuard,PIECES,0.1,15x8x2,Black,Universal,120,20,250,8.00,USD,19.99,USD,14.99,2024-01-01,2024-12-31,TechSupplier Inc,false,
Whole Grain Bread,Fresh whole grain bread with seeds and nuts,WGB010,WGB-FRESH-010,123456789010,Food & Beverage,BreadMaster,PIECES,0.4,20x12x8,Brown,Standard,150,30,300,1.80,USD,3.99,USD,2.99,2024-01-01,2024-01-31,BakerySupplier Ltd,true,2024-01-20
